body,sender,subject,class
"Unlock your ex's secrets with this mind-reading technique","relationships@love-guru.net","Win Your Ex Back Guaranteed",spam
"Your benefits enrollment period ends next week","benefits@company.com","Benefits Enrollment Deadline",ham
"ALERT: Suspicious activity detected on your Amazon account","security@amaz0n-secure.com","Security Alert - Action Required",spam
"The product demo is scheduled for Thursday at 2 PM","product@company.com","Product Demo Schedule",ham
"Double your income with this secret investment strategy","wealth@financial-freedom.club","Secret Wealth Strategy Revealed",spam
"Please update your emergency contact information","hr@company.com","Emergency Contact Update",ham
"URGENT: Your PayPal account has been limited","service@paypa1-secure.com","Account Limitation Notice",spam
"The team building event details have been finalized","events@company.com","Team Building Event Details",ham
"Meet beautiful Russian women who want to marry foreign men","dating@international-romance.ru","Find Your Russian Bride",spam
"Your performance review is scheduled for next Monday","manager@company.com","Performance Review Schedule",ham
"Earn $1000 daily with this automated trading system","forex@easy-trading.xyz","Automated Forex Trading System",spam
"The holiday schedule for next year has been published","hr@company.com","Holiday Schedule",ham
"BREAKING NEWS: This penny stock is about to skyrocket","stocks@investment-alerts.info","Penny Stock Alert - Buy Now",spam
"Please complete the customer satisfaction survey","feedback@company.com","Customer Satisfaction Survey",ham
"Unlock unlimited energy with this new supplement","health@vitality-boost.store","Revolutionary Energy Supplement",spam
"The project status meeting is postponed to Wednesday","project-manager@company.com","Meeting Postponement",ham
"Your Apple ID was used to sign in on a new device","security@apple-id-verify.com","Apple ID Security Alert",spam
"The quarterly sales figures are now available","sales@company.com","Q3 Sales Report",ham
"Congratulations! Your resume has been selected for a $90k job","careers@job-placement.biz","Job Opportunity - $90k",spam
"Please submit your travel preferences for the company retreat","travel@company.com","Company Retreat Planning",ham
"URGENT: Your bank account has been frozen due to suspicious activity","security@bank-secure-alert.com","Bank Account Frozen",spam
"The office WiFi password will be changed tomorrow","it@company.com","WiFi Password Change",ham
"Improve your credit score by 200 points in 2 weeks","credit@score-repair.site","Credit Score Improvement",spam
"Your request for new equipment has been approved","procurement@company.com","Equipment Request Approved",ham
"Congratulations! You've qualified for a $5000 loan with no credit check","loans@easy-approval.loan","Pre-Approved Loan Offer",spam
"The fire drill procedure has been updated","safety@company.com","Updated Safety Procedures",ham
"FINAL NOTICE: Your vehicle warranty is about to expire","warranty@auto-protection.services","Vehicle Warranty Expiration",spam
"Please review the attached meeting minutes","secretary@company.com","Meeting Minutes for Review",ham
